                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.1059,                0.74052,                 1.5416,                0.88582,                 0.9271,                0.95819,                0.69997,                 1.0107,                 0.5789,                 1.4654,              0.0009308,              0.0009308,              0.0009308
                     84,                  1.137,                0.75033,                 1.5596,                0.87929,                0.92108,                0.95497,                0.68929,                 1.0301,                0.58828,                 1.4859,              0.0009176,              0.0009176,              0.0009176
                     85,                 1.1292,                0.73864,                 1.5529,                0.88594,                0.91943,                0.96186,                 0.6963,                 1.0385,                0.57313,                 1.4854,              0.0009044,              0.0009044,              0.0009044
                     86,                 1.1126,                0.74027,                 1.5419,                0.88624,                0.93102,                0.96134,                0.70286,                0.99713,                0.57394,                  1.465,              0.0008912,              0.0008912,              0.0008912
                     87,                 1.1109,                0.74257,                 1.5431,                  0.899,                0.91656,                0.96095,                0.70697,                0.99866,                0.55533,                 1.4609,               0.000878,               0.000878,               0.000878
                     88,                 1.1108,                0.72051,                 1.5391,                0.89888,                0.92531,                0.96244,                0.70357,                 1.0024,                0.55733,                 1.4607,              0.0008648,              0.0008648,              0.0008648
                     89,                 1.1152,                0.73281,                 1.5506,                0.87956,                 0.9395,                0.96116,                0.70498,                0.99872,                0.55924,                 1.4472,              0.0008516,              0.0008516,              0.0008516
                     90,                 1.1352,                0.74692,                 1.5519,                0.88944,                 0.9301,                0.95287,                0.69112,                0.99623,                0.57221,                 1.4402,              0.0008384,              0.0008384,              0.0008384
                     91,                  1.101,                0.72378,                  1.536,                0.89156,                0.93314,                0.96304,                0.70954,                0.99797,                0.54638,                 1.4386,              0.0008252,              0.0008252,              0.0008252
                     92,                 1.1162,                0.71506,                  1.545,                0.90135,                0.92364,                0.96325,                0.70088,                 1.0132,                0.55518,                 1.4619,               0.000812,               0.000812,               0.000812
                     93,                 1.1168,                0.74101,                 1.5435,                 0.8964,                0.92991,                0.96078,                0.70786,                  1.001,                0.54926,                 1.4551,              0.0007988,              0.0007988,              0.0007988
                     94,                 1.1066,                0.73286,                 1.5438,                0.91472,                0.91657,                0.96371,                0.71722,                0.97195,                0.53666,                 1.4352,              0.0007856,              0.0007856,              0.0007856
                     95,                 1.0855,                0.71758,                 1.5262,                0.90373,                0.92079,                0.96417,                0.71321,                0.96533,                0.56632,                 1.4279,              0.0007724,              0.0007724,              0.0007724
                     96,                 1.0997,                0.71071,                 1.5219,                 0.9066,                0.92183,                0.96458,                0.71027,                0.98501,                0.54387,                 1.4356,              0.0007592,              0.0007592,              0.0007592
                     97,                 1.0844,                0.71511,                 1.5249,                0.90821,                0.92108,                0.96193,                0.71237,                0.98198,                 0.5398,                 1.4336,               0.000746,               0.000746,               0.000746
                     98,                 1.0899,                0.72323,                  1.523,                0.90705,                0.93142,                0.96422,                0.71577,                0.96558,                 0.5292,                 1.4243,              0.0007328,              0.0007328,              0.0007328
                     99,                 1.1169,                0.71595,                 1.5308,                0.90681,                0.93311,                0.96686,                0.71583,                0.96357,                0.53542,                 1.4198,              0.0007196,              0.0007196,              0.0007196
                    100,                 1.0952,                0.71509,                  1.535,                0.90906,                0.93386,                0.96509,                0.71297,                0.99917,                0.53979,                  1.447,              0.0007064,              0.0007064,              0.0007064
                    101,                 1.0981,                0.72408,                 1.5249,                0.91131,                0.93987,                0.96855,                0.72036,                0.95956,                0.51972,                 1.4089,              0.0006932,              0.0006932,              0.0006932
                    102,                 1.0612,                 0.6991,                 1.4894,                 0.9115,                0.92484,                 0.9667,                0.72269,                0.95798,                0.51765,                 1.4088,                0.00068,                0.00068,                0.00068
                    103,                 1.0764,                0.69971,                 1.5118,                 0.9088,                0.92872,                0.96352,                0.71952,                0.95726,                0.53565,                 1.4139,              0.0006668,              0.0006668,              0.0006668
                    104,                 1.0674,                 0.6903,                 1.4978,                0.91897,                0.94062,                0.96811,                0.72617,                0.94459,                0.50972,                 1.4029,              0.0006536,              0.0006536,              0.0006536
                    105,                 1.0801,                 0.6956,                  1.513,                0.91313,                0.93623,                0.97001,                0.73262,                0.93864,                0.50629,                 1.3973,              0.0006404,              0.0006404,              0.0006404
                    106,                 1.0612,                0.66599,                 1.4975,                0.91002,                0.93461,                0.96666,                0.71878,                0.96456,                0.54091,                 1.4139,              0.0006272,              0.0006272,              0.0006272
                    107,                 1.0614,                0.68153,                 1.4991,                0.90074,                0.94125,                0.96838,                0.73085,                 0.9354,                0.52241,                 1.3938,               0.000614,               0.000614,               0.000614
                    108,                 1.0583,                0.68512,                  1.494,                0.91761,                0.93611,                0.97031,                0.73884,                0.91453,                0.50096,                 1.3778,              0.0006008,              0.0006008,              0.0006008
                    109,                 1.0622,                0.68497,                 1.4969,                0.91849,                0.93461,                 0.9683,                0.73725,                 0.9295,                0.50413,                 1.3898,              0.0005876,              0.0005876,              0.0005876
                    110,                 1.0442,                0.69671,                 1.4869,                0.91144,                0.93574,                0.96777,                0.72503,                0.94199,                0.51663,                  1.392,              0.0005744,              0.0005744,              0.0005744
                    111,                 1.0633,                0.69986,                 1.5002,                0.90335,                0.94479,                0.96852,                0.73084,                0.94178,                0.52053,                 1.3951,              0.0005612,              0.0005612,              0.0005612
                    112,                 1.0379,                0.66993,                 1.4661,                0.91534,                0.93987,                0.97001,                 0.7268,                0.93795,                0.50053,                 1.3935,               0.000548,               0.000548,               0.000548
                    113,                 1.0566,                0.66888,                  1.496,                0.92342,                 0.9471,                0.97244,                0.74437,                0.91174,                 0.4884,                 1.3696,              0.0005348,              0.0005348,              0.0005348
                    114,                 1.0311,                0.65302,                 1.4786,                0.92025,                0.94973,                0.97192,                0.74567,                0.90336,                0.48448,                  1.365,              0.0005216,              0.0005216,              0.0005216
                    115,                 1.0385,                0.67731,                 1.4799,                0.92925,                 0.9301,                0.97274,                0.73853,                0.91709,                0.51264,                 1.3731,              0.0005084,              0.0005084,              0.0005084
                    116,                 1.0445,                0.67275,                 1.4773,                0.91814,                0.95253,                0.97361,                0.74012,                0.92036,                0.49094,                 1.3816,              0.0004952,              0.0004952,              0.0004952
                    117,                 1.0548,                0.66418,                 1.4803,                0.92724,                0.94025,                0.97419,                0.74604,                0.90486,                0.48265,                 1.3666,               0.000482,               0.000482,               0.000482
                    118,                 1.0447,                0.65658,                 1.4847,                0.92663,                0.93494,                0.97171,                  0.735,                0.91943,                0.51637,                 1.3699,              0.0004688,              0.0004688,              0.0004688
                    119,                 1.0081,                0.67045,                 1.4693,                0.92285,                0.94405,                0.97353,                0.74594,                0.89641,                0.49064,                 1.3602,              0.0004556,              0.0004556,              0.0004556
                    120,                 1.0471,                0.66771,                 1.4841,                0.93746,                0.94213,                0.97794,                0.75244,                0.89659,                0.47079,                 1.3608,              0.0004424,              0.0004424,              0.0004424
                    121,                 1.0242,                0.65738,                 1.4705,                0.91701,                0.94025,                 0.9739,                0.73983,                0.89469,                0.49639,                 1.3531,              0.0004292,              0.0004292,              0.0004292
                    122,                 1.0152,                0.65351,                 1.4589,                0.93368,                0.94626,                0.97466,                0.74937,                0.91088,                0.47599,                 1.3613,               0.000416,               0.000416,               0.000416
                    123,                 1.0142,                0.65269,                 1.4678,                0.93937,                0.94326,                0.97842,                0.75852,                 0.8738,                0.46228,                 1.3361,              0.0004028,              0.0004028,              0.0004028
                    124,                 1.0226,                0.64701,                 1.4607,                0.93257,                0.94513,                0.97567,                0.75962,                0.87167,                0.46733,                 1.3334,              0.0003896,              0.0003896,              0.0003896
                    125,                 1.0202,                0.65455,                 1.4654,                0.93212,                0.95462,                0.97687,                 0.7579,                0.87234,                0.47972,                 1.3353,              0.0003764,              0.0003764,              0.0003764
                    126,                 1.0056,                0.63488,                 1.4465,                0.92979,                0.95791,                0.97634,                0.75678,                0.85989,                0.46011,                  1.323,              0.0003632,              0.0003632,              0.0003632
                    127,                  1.004,                0.63451,                  1.444,                0.94065,                0.95305,                0.97869,                 0.7682,                0.85384,                0.45632,                 1.3262,                0.00035,                0.00035,                0.00035
                    128,                 1.0009,                0.64686,                 1.4463,                0.93729,                0.95482,                 0.9793,                0.75913,                0.85894,                0.46039,                  1.319,              0.0003368,              0.0003368,              0.0003368
                    129,                0.99679,                0.63185,                 1.4456,                0.92717,                0.96317,                0.97834,                0.76547,                0.85842,                0.45533,                 1.3222,              0.0003236,              0.0003236,              0.0003236
                    130,                0.99838,                0.64216,                 1.4541,                0.93582,                0.95603,                0.97854,                0.76636,                0.85731,                0.45029,                 1.3184,              0.0003104,              0.0003104,              0.0003104
                    131,                0.96964,                0.62357,                  1.416,                0.93306,                0.94589,                0.97698,                0.76261,                0.85094,                0.48507,                 1.3141,              0.0002972,              0.0002972,              0.0002972
                    132,                0.98737,                0.62685,                 1.4232,                0.94289,                0.95265,                0.97934,                0.76645,                0.85817,                0.45408,                 1.3238,               0.000284,               0.000284,               0.000284
